interviewed,hired,appdate,age,sex,residence,GPA.u,GPA.g,MA,substitute,teaching,experience,workkids,volunteer,agegroup
no,no,4/15/03,28,Female,2,N/A,N/A,pending,no,no,0,no,no,younger
no,no,7/26/04,25,Female,2,3.64,N/A,yes,no,yes,0,no,no,younger
no,no,7/1/04,37,Male,2,N/A,N/A,yes,no,yes,4,no,no,younger
no,no,3/17/03,NA,Female,2,3.92,N/A,no,no,yes,0,no,no,NA
no,no,N/A,NA,Female,3,3.8,N/A,no,no,yes,3,no,no,NA
no,no,6/26/03,37,Female,2,3.23,N/A,no,no,yes,1,yes,no,younger
yes ,no,4/26/02,24,Female,2,2.92,N/A,no,no,yes,9,no,no,younger
no,no,5/5/03,22,Female,1,3.4,N/A,no,no,yes,5,yes,no,younger
no,no,5/26/03,27,Female,2,N/A,3.96,yes,no,yes,2,no,no,younger
no,no,3/26/03,27,Female,2,2.88,N/A,no,no,yes,3,yes,no,younger
no,no,7/1/04,NA,Female,2,2.87,N/A,no,no,yes,3,no,no,NA
no,no,6/8/04,31,Female,2,3.24,3.5,yes,yes,no,0,no,no,younger
no,no,6/23/04,23,Female,2,3.45,3.97,yes,no,yes,13,no,no,younger
no,no,4/28/04,23,Female,2,3.31,3.69,yes,no,yes,6,yes,no,younger
no,no,4/12/03,28,Female,2,3.15,4,pending,no,yes,5,yes,no,younger
no,no,4/7/03,24,Female,2,3.38,N/A,no,no,yes,0,no,no,younger
no,no,8/12/03,NA,Female,2,3.78,N/A,no,no,yes,0,no,no,NA
no,no,7/21/04,33,Male,2,3.29,3.85,yes,no,yes,5,no,no,younger
no,no,4/28/04,29,Female,2,3.17,N/A,no,no,yes,5,yes,no,younger
no,no,3/19/04,28,Male,2,3.28,3.69,yes,no,yes,5,no,no,younger
no,no,4/15/03,23,Female,2,N/A,3.51,yes,no,yes,3,yes,no,younger
no,no,6/10/04,28,Female,2,N/A,N/A,no,no,yes,11,no,no,younger
no,no,7/26/04,29,Female,2,N/A,N/A,no,yes,yes,2,no,no,younger
no,no,6/28/04,23,Female,2,3.64,4,yes,no,yes,8,yes,no,younger
no,no,4/3/04,24,Female,1,3.7,N/A,no,yes,yes,0,no,no,younger
no,no,4/12/04,34,Female,2,2.94,3.74,yes,no,yes,2,no,no,younger
no,no,6/10/04,23,Female,2,3.72,3.73,yes,no,yes,3,yes,no,younger
no,no,4/15/03,23,Female,2,3.03,N/A,no,no,yes,4,yes,no,younger
no,no,7/31/03,31,Female,2,3.82,N/A,no,no,yes,6,no,no,younger
no,no,5/6/02,28,Female,2,N/A,N/A,no,yes,yes,5,no,no,younger
no,no,7/26/04,25,Female,2,N/A,N/A,yes,no,yes,10,yes,no,younger
no,no,4/5/04,26,Female,2,N/A,3.72,yes,no,yes,7,yes,no,younger
no,no,4/23/02,24,Female,2,3.84,N/A,no,no,yes,5,yes,no,younger
no,no,6/12/04,31,Female,2,N/A,3.91,yes,yes,yes,0,no,no,younger
no,no,4/25/04,22,Female,2,3.13,N/A,no,no,yes,2,no,no,younger
no,no,4/15/03,24,Female,2,3.14,3.94,yes,no,yes,6,yes,no,younger
no,no,6/15/04,30,Female,2,3.04,4.14,yes,yes,yes,5,no,no,younger
no,no,5/25/04,NA,Female,2,N/A,3.87,yes,yes,yes,3,no,no,NA
no,no,5/13/03,31,Female,2,2.72,3.9,yes,no,yes,11,yes,no,younger
no,no,6/30/04,NA,Female,2,N/A,3.4,yes,no,yes,5,yes,no,NA
no,no,6/18/03,23,Female,2,3.3,N/A,no,no,yes,6,yes,no,younger
no,no,5/15/03,23,Female,2,3.38,4,yes,no,yes,10,yes,yes,younger
no,no,5/17/04,23,Female,1,N/A,N/A,no,no,yes,2,no,no,younger
no,no,4/20/03,26,Female,2,2.58,N/A,pending,no,yes,6,yes,no,younger
no,no,3/18/03,33,Female,2,3.45,N/A,no,no,yes,7,no,no,younger
no,no,4/17/03,35,Female,3,N/A,N/A,no,no,no,0,no,no,younger
no,no,7/14/03,25,Female,2,3.41,N/A,no,no,yes,4,yes,no,younger
no,no,6/14/04,24,Female,2,3.05,3.9,yes,no,yes,1,no,no,younger
no,no,5/17/04,30,Male,2,3.23,3.87,yes,no,no,3,yes,no,younger
no,no,4/21/03,30,Female,2,3.03,N/A,yes,no,yes,2,yes,no,younger
no,no,7/1/04,24,Female,2,N/A,N/A,no,no,yes,1,no,no,younger
no,no,6/26/02,23,Female,2,3.21,N/A,no,yes,yes,8,no,no,younger
no,no,6/9/03,24,Female,2,3.38,N/A,no,no,yes,6,no,yes,younger
no,no,5/8/03,27,Female,2,3.36,3.98,yes,no,yes,6,yes,no,younger
no,no,4/10/03,23,Female,2,3.6,4.1,yes,no,yes,4,yes,no,younger
no,no,7/7/03,38,Female,2,N/A,3.66,yes,yes,yes,11,no,no,younger
no,no,6/5/03,22,Female,2,3.76,N/A,no,no,yes,3 months,yes,no,younger
no,no,1/11/05,NA,Female,3,3.5,N/A,no,no,yes,10,yes,no,NA
no,no,7/6/04,26,Female,2,2.96,3.75,yes,no,yes,6,yes,no,younger
no,no,6/6/04,30,Female,2,3.64,N/A,no,no,yes,8,no,no,younger
no,no,3/25/04,24,Female,2,3.1,N/A,no,no,yes,5,no,no,younger
no,no,7/26/04,NA,Female,2,3.08,N/A,no,yes,yes,2,yes,no,NA
no,no,5/22/03,NA,Female,2,3.16,N/A,yes,yes,yes,2,yes,no,NA
no,no,5/12/04,NA,Female,2,N/A,3.81,yes,no,yes,0,no,no,NA
no,no,6/30/04,31,Female,1,2.6,3.76,yes,yes,yes,1,yes,no,younger
no,no,5/28/03,24,Female,2,3.81,N/A,yes,no,yes,2,yes,no,younger
no,no,8/27/03,27,Female,2,3.01,3.79,yes,yes,yes,6,yes,no,younger
no,no,4/23/04,NA,Female,2,3.28,N/A,no,no,yes,6,no,no,NA
no,no,4/30/03,56,Female,2,N/A,N/A,yes,yes,yes,17,no,no,older
no,no,2/18/03,27,Female,2,3.09,4,yes,yes,yes,2,no,no,younger
no,no,4/29/04,30,Male,1,3.4,4.06,yes,no,yes,11,no,no,younger
no,no,4/30/04,24,Female,2,3.02,N/A,no,no,yes,1,yes,no,younger
no,no,5/21/04,NA,Female,2,3.26,3.87,yes,no,yes,4,yes,yes,NA
no,no,3/1/03,24,Female,2,3.68,3.85,yes,yes,yes,5,yes,no,younger
no,no,6/30/04,36,Male,2,2.8,N/A,no,no,yes,12,no,no,younger
no,no,6/1/03,26,Female,2,3.3,N/A,yes,no,yes,0,no,no,younger
no,no,6/18/04,24,Female,2,3.39,4,yes,yes,yes,5,yes,no,younger
no,no,3/30/04,23,Female,2,3.48,N/A,no,no,yes,4,yes,no,younger
no,no,6/22/04,25,Female,2,3,N/A,yes,no,yes,5,no,no,younger
no,no,2/16/04,34,Female,1,2.33,3.87,yes,no,yes,15,no,no,younger
no,no,8/13/03,25,Female,2,3.21,3.88,yes,no,yes,9,no,no,younger
no,no,4/4/04,32,Female,2,4.4,4,yes,yes,yes,7,no,no,younger
no,no,8/4/04,24,Female,2,N/A,3.97,yes,no,yes,2,no,no,younger
no,no,2/17/04,33,Male,1,2.69,3.47,yes,no,yes,6,yes,no,younger
no,no,3/26/03,NA,Female,2,4,N/A,no,no,yes,9,no,yes,NA
no,no,3/17/03,31,Female,2,3.44,3.91,yes,yes,yes,8,no,no,younger
no,no,3/4/03,24,Female,2,3.42,N/A,no,yes,yes,5,yes,no,younger
no,no,8/18/04,NA,Female,2,N/A,N/A,yes,no,no,0,no,no,NA
no,no,6/28/04,30,Female,2,2.32,3.73,yes,no,yes,0,no,no,younger
no,no,6/23/04,NA,Female,3,3,N/A,no,no,yes,0,no,no,NA
no,no,5/6/03,NA,Female,2,3.2,N/A,no,no,yes,5,no,no,NA
no,no,3/3/03,28,Female,3,3.51,3.66,yes,no,yes,0,no,no,younger
no,no,6/4/04,31,Female,2,3.29,N/A,yes,yes,no,2,yes,no,younger
no,no,7/18/04,23,Female,2,3.31,N/A,no,yes,yes,0,no,no,younger
no,no,4/12/04,NA,Female,1,3.2,N/A,no,no,no,4,no,no,NA
no,no,2/14/04,25,Female,3,3.55,N/A,yes,no,yes,0,no,no,younger
no,no,6/1/04,28,Female,2,2.94,3.7,yes,no,yes,8,no,no,younger
no,no,4/8/03,24,Female,3,3.24,N/A,no,no,yes,4,yes,no,younger
no,no,6/7/04,30,Female,2,3.58,3.94,yes,yes,yes,1,no,no,younger
no,no,7/31/04,24,Female,3,3.55,N/A,no,no,yes,8,yes,no,younger
no,no,4/28/03,23,Female,2,3.44,N/A,no,no,yes,8,no,no,younger
no,no,1/5/04,23,Female,2,2.9,N/A,no,no,yes,8,no,no,younger
no,no,6/6/04,24,Female,2,3.22,N/A,no,yes,yes,5,yes,no,younger
no,no,7/1/04,23,Female,2,3.16,N/A,no,no,yes,3,no,no,younger
no,no,5/10/04,24,Female,2,N/A,N/A,no,no,yes,0,no,no,younger
no,no,5/6/04,24,Female,2,2.99,3.84,yes,no,yes,8,yes,no,younger
no,no,3/11/04,24,Female,2,N/A,N/A,no,yes,yes,2,yes,no,younger
no,no,7/23/04,33,Female,2,3.42,N/A,no,no,yes,9,yes,no,younger
no,no,4/5/03,23,Female,2,3.86,N/A,no,no,yes,2,yes,no,younger
no,no,4/14/03,23,Female,2,3.12,N/A,no,no,yes,6,no,no,younger
no,no,2/21/04,24,Male,2,3.32,N/A,no,no,yes,8,yes,no,younger
no,no,5/1/03,30,Male,2,2.61,N/A,yes,no,yes,6,yes,no,younger
no,no,6/8/04,35,Female,2,3.77,N/A,no,yes,yes,2,yes,no,younger
no,no,7/2/03,22,Female,2,3.32,N/A,no,no,yes,6,no,no,younger
no,no,6/11/04,23,Female,2,3.33,N/A,no,no,yes,7,no,no,younger
no,no,4/5/03,28,Male,2,N/A,3.47,no,no,yes,9,yes,no,younger
no,no,3/23/03,26,Female,3,N/A,N/A,no,no,yes,2,no,no,younger
no,no,4/25/03,27,Female,2,3.3,4,yes,no,yes,5,no,no,younger
no,no,6/24/04,23,Female,2,3.28,N/A,no,no,yes,5,yes,no,younger
no,no,4/15/03,NA,Female,2,3,3.84,yes,no,yes,4,yes,no,NA
no,no,6/9/04,26,Female,2,3.01,3.83,yes,no,yes,10,no,no,younger
no,no,7/1/04,24,Female,2,2.96,3.88,yes,no,yes,5,yes,no,younger
no,no,3/23/04,24,Female,2,2.97,N/A,yes,no,yes,1,no,no,younger
no,no,4/18/03,23,Female,2,3.73,N/A,no,no,yes,4,yes,no,younger
no,no,4/25/03,NA,Female,2,N/A,N/A,yes,yes,no,0,no,no,NA
no,no,6/2/04,27,Female,2,3.14,3.59,yes,no,yes,0,no,no,younger
no,no,3/25/03,27,Female,2,3.88,3.58,yes,no,yes,6,no,no,younger
no,no,4/18/02,25,Female,2,2.48,N/A,no,no,yes,7,no,no,younger
no,no,3/11/03,23,Female,1,3.22,N/A,yes,no,yes,3,no,no,younger
no,no,6/4/04,26,Female,2,2.87,N/A,no,yes,yes,10,yes,no,younger
no,no,6/6/03,NA,Female,2,N/A,N/A,no,yes,no,0,no,no,NA
no,no,4/21/03,34,Female,2,2.76,N/A,yes,no,yes,9,no,no,younger
no,no,3/8/02,22,Female,1,3.79,N/A,no,yes,yes,6,yes,no,younger
no,no,6/28/04,24,Female,2,3.23,N/A,no,no,yes,4,no,no,younger
no,no,3/24/03,NA,Female,2,N/A,3.7,no,no,yes,9,yes,no,NA
no,no,4/16/03,27,Female,2,3.21,N/A,no,no,no,3,yes,no,younger
no,no,5/17/04,28,Female,1,2.69,3.83,yes,no,yes,1,yes,no,younger
no,no,4/15/03,34,Female,2,2.73,N/A,no,no,yes,8,yes,no,younger
no,no,12/20/04,23,Female,2,3.56,4.08,yes,no,yes,9,yes,no,younger
no,no,11/12/02,23,Female,2,N/A,3.8,yes,no,yes,2,yes,no,younger
no,no,6/23/03,24,Female,2,3.3,N/A,no,no,yes,1,no,no,younger
no,no,8/4/03,23,Female,2,3.09,N/A,no,yes,yes,6,no,no,younger
no,no,2/16/04,27,Female,2,2.96,N/A,no,no,yes,4,no,no,younger
no,no,3/9/04,NA,Female,2,3.78,N/A,no,no,yes,1,yes,no,NA
no,no,7/8/03,NA,Female,3,3.51,N/A,no,no,yes,2,yes,no,NA
no,no,4/24/03,30,Female,2,3.33,3.95,yes,no,no,1,no,no,younger
no,no,5/23/03,38,Female,2,2.42,N/A,no,no,yes,14,no,no,younger
no,no,4/17/03,NA,Female,2,2.91,N/A,no,no,yes,1,no,no,NA
no,no,5/10/04,24,Female,2,3.53,3.87,yes,no,yes,3,yes,no,younger
no,no,6/23/04,24,Female,2,2.94,N/A,no,no,yes,9,yes,no,younger
no,no,2/6/04,26,Female,2,3.01,N/A,no,no,yes,0,no,no,younger
no,no,6/25/04,26,Female,2,3.93,N/A,no,no,yes,1,no,no,younger
no,no,3/6/04,23,Female,2,3.29,3.93,yes,no,yes,8,yes,no,younger
no,no,4/14/03,28,Female,2,3.29,N/A,no,no,yes,6,yes,no,younger
no,no,4/1/04,28,Female,2,N/A,N/A,no,no,yes,7,no,no,younger
no,no,6/8/04,30,Female,2,3.74,4,yes,no,yes,8,no,no,younger
no,no,5/12/03,27,Male,2,3.51,4.05,yes,no,yes,9,yes,no,younger
no,no,6/20/04,23,Female,2,3.52,3.78,yes,no,yes,5 months,no,no,younger
no,no,7/21/04,38,Male,2,3.81,N/A,no,yes,yes,13,yes,no,younger
no,no,6/29/04,29,Female,2,2.86,3.95,yes,no,no,0,no,no,younger
no,no,7/14/04,24,Female,2,3.75,3.93,yes,yes,yes,12,yes,no,younger
no,no,7/2/04,36,Female,2,3.7,3.84,yes,no,yes,2,no,no,younger
no,no,6/7/04,33,Female,2,2.77,N/A,yes,no,yes,4,no,no,younger
no,no,7/6/04,31,Female,2,N/A,3.74,yes,yes,yes,2,yes,no,younger
no,no,8/13/03,27,Female,2,3.55,N/A,no,no,yes,3,yes,no,younger
no,no,6/27/04,28,Female,2,2.34,3.97,yes,no,yes,3,yes,no,younger
no,no,4/25/04,NA,Female,2,N/A,N/A,no,no,yes,3,yes,no,NA
no,no,5/4/03,29,Female,3,2.79,N/A,no,no,yes,5,no,no,younger
no,no,3/19/03,25,Female,2,3.84,4,yes,no,yes,6,no,no,younger
no,no,7/6/04,39,Male,2,3.93,3.92,yes,yes,yes,10,no,no,younger
no,no,6/17/04,22,Female,2,3.53,N/A,no,no,yes,0,no,no,younger
no,no,5/11/04,23,Female,2,3.52,3.89,yes,no,yes,0,no,no,younger
no,no,3/26/03,26,Female,2,3.6,3.93,yes,no,yes,8,yes,no,younger
no,no,3/30/03,24,Female,2,3.6,3.99,yes,no,yes,0,no,no,younger
no,no,6/11/04,35,Female,2,N/A,4,yes,no,yes,16,yes,no,younger
no,no,6/16/04,22,Female,1,3.67,N/A,no,no,yes,7,yes,no,younger
no,no,7/27/04,24,Female,3,3.39,3.9,yes,no,yes,4 months,no,no,younger
no,no,6/12/03,26,Female,2,3.2,4.02,yes,no,yes,1,no,no,younger
no,no,3/28/03,33,Female,2,3.89,N/A,no,no,yes,7,yes,no,younger
no,no,7/20/04,30,Female,2,2.79,N/A,no,no,yes,6,yes,no,younger
no,no,3/28/04,34,Female,2,2.57,N/A,no,yes,yes,8,yes,no,younger
no,no,7/2/04,22,Female,2,3.49,N/A,no,no,yes,8,yes,no,younger
no,no,5/11/03,27,Female,2,3.26,3.87,yes,yes,yes,2,yes,no,younger
no,no,3/28/03,26,Female,1,3.43,N/A,no,yes,no,0,no,no,younger
no,no,7/31/03,33,Female,2,3.42,4,yes,no,yes,7,yes,no,younger
no,no,7/12/04,23,Male,2,3.48,N/A,no,no,yes,5,yes,no,younger
no,no,3/14/03,26,Female,2,4,N/A,no,no,yes,0,no,no,younger
no,no,4/22/03,23,Female,2,3.27,N/A,no,no,yes,4,no,no,younger
no,no,6/11/04,27,Female,3,2.96,3.62,yes,no,yes,12,yes,no,younger
no,no,5/26/04,26,Female,2,4,3.97,yes,yes,yes,3,no,no,younger
no,no,6/20/02,23,Female,3,3.11,N/A,no,no,yes,5,yes,no,younger
no,no,6/10/04,22,Female,2,3.37,N/A,no,no,yes,4,yes,no,younger
no,no,4/10/03,23,Female,2,3.18,3.83,yes,no,yes,4,yes,no,younger
no,no,4/12/04,23,Female,1,3.04,N/A,no,no,yes,0,no,no,younger
no,no,4/9/04,25,Male,2,3.48,3.28,yes,no,yes,4,no,no,younger
no,no,4/16/03,24,Female,2,3.14,N/A,no,no,yes,8,yes,no,younger
no,no,4/21/03,23,Female,2,3.52,3.3,yes,no,yes,2,no,no,younger
no,no,6/24/04,30,Female,1,3.41,N/A,no,no,yes,8,yes,no,younger
no,no,6/6/04,36,Female,3,3.4,4,yes,no,yes,10,no,no,younger
no,no,4/25/03,36,Female,2,3.03,3.88,yes,yes,yes,0,no,no,younger
no,no,7/1/04,22,Female,2,3.67,N/A,no,no,yes,5,no,no,younger
no,no,4/8/03,23,Female,2,3.67,N/A,no,no,yes,5,no,no,younger
no,no,7/5/04,23,Female,3,3.75,N/A,no,no,yes,0,no,no,younger
no,no,5/20/03,23,Female,2,3.47,3.93,yes,no,yes,3,no,no,younger
no,no,4/25/03,34,Female,3,3.78,N/A,no,no,yes,6,yes,no,younger
no,no,7/6/04,28,Female,2,N/A,N/A,no,no,yes,0,no,no,younger
no,no,6/25/04,26,Male,2,2.53,N/A,yes,yes,yes,2,no,no,younger
no,no,3/3/03,24,Female,2,3.57,N/A,no,no,yes,1,yes,no,younger
no,no,8/10/04,23,Female,2,3.39,N/A,no,no,yes,6,no,no,younger
no,no,4/14/03,24,Female,2,3.75,N/A,no,no,yes,1,no,no,younger
no,no,4/21/04,27,Female,2,3.42,N/A,no,yes,yes,1,no,no,younger
no,no,3/24/04,NA,Female,2,3.29,N/A,no,yes,yes,4,yes,no,NA
no,no,6/6/04,NA,Female,2,3.6,4.03,yes,no,yes,0,no,yes,NA
no,no,3/8/04,38,Female,2,3.47,3.33,yes,yes,yes,9 months,yes,no,younger
no,no,3/21/03,29,Female,2,N/A,4,no,no,yes,5,yes,no,younger
no,no,4/4/03,22,Female,2,3.94,N/A,no,no,yes,7,yes,no,younger
no,no,6/7/04,24,Female,2,2.81,N/A,no,no,yes,6,no,no,younger
no,no,5/10/03,36,Female,2,N/A,N/A,no,no,yes,21,yes,no,younger
no,no,4/7/03,25,Female,2,3.48,3.73,yes,no,yes,6,no,no,younger
no,no,8/6/04,26,Female,2,N/A,N/A,yes,no,yes,8,yes,no,younger
no,no,7/29/04,37,Female,2,3.4,N/A,no,no,yes,2,no,no,younger
no,no,6/3/03,28,Female,2,2.92,N/A,no,no,yes,1,yes,no,younger
no,no,6/9/04,NA,Female,2,3.66,N/A,no,no,no,3 months,yes,no,NA
no,no,4/5/04,23,Female,2,3.21,3.93,yes,yes,yes,2,yes,no,younger
no,no,5/7/03,37,Female,1,2.9,3.95,yes,no,yes,3 months,yes,no,younger
no,no,5/3/04,23,Female,2,2.84,N/A,no,no,yes,4,yes,no,younger
no,no,3/11/04,24,Female,2,3.24,N/A,no,yes,yes,7,no,no,younger
no,no,7/28/03,25,Female,2,3.35,N/A,no,no,yes,8,yes,no,younger
no,no,6/11/04,36,Female,1,3.72,N/A,no,no,yes,14,no,no,younger
no,no,2/18/04,25,Female,2,2.8,N/A,no,no,yes,8,yes,no,younger
no,no,6/25/02,36,Female,2,3.22,3.9,yes,no,yes,0,no,no,younger
no,no,8/18/03,31,Female,2,3.1,3.97,yes,no,yes,14,no,no,younger
no,no,4/14/03,28,Female,2,2.56,3.94,yes,yes,yes,0,no,no,younger
no,no,3/4/03,29,Male,2,3,4,yes,yes,yes,1,no,no,younger
no,no,2/25/03,24,Female,2,3.52,N/A,no,no,yes,5,yes,no,younger
no,no,4/9/04,28,Female,3,NA,N/A,no,no,no,5,yes,no,younger
no,no,6/25/04,NA,Female,2,3.1,N/A,no,no,yes,0,no,no,NA
no,no,4/12/03,24,Female,3,2.67,N/A,no,no,yes,3 months,no,no,younger
no,no,4/7/03,23,Female,1,2.92,N/A,no,no,yes,7,yes,no,younger
no,no,5/19/03,23,Female,2,3.04,N/A,no,no,yes,6,yes,no,younger
no,no,7/3/04,24,Female,2,3.24,N/A,no,yes,yes,0,no,no,younger
no,no,6/28/04,30,Female,2,2.96,N/A,no,no,yes,2,yes,no,younger
no,no,8/4/04,32,Female,2,3.06,N/A,no,no,yes,4,no,no,younger
no,no,4/17/03,23,Female,2,3.91,N/A,no,no,yes,6,yes,no,younger
no,no,8/10/04,NA,Female,1,N/A,N/A,yes,no,yes,0,no,no,NA
no,no,6/19/04,24,Female,3,3.77,NA,yes,no,yes,2,yes,no,younger
no,no,6/15/04,37,Female,2,3.7,N/A,no,no,yes,15,no,no,younger
no,no,2/10/04,23,Female,2,3.84,N/A,no,no,yes,2,no,no,younger
no,no,6/17/04,28,Female,2,2.65,3.82,yes,yes,yes,4,no,no,younger
no,no,4/15/03,33,Female,2,3.66,N/A,no,yes,yes,6,no,no,younger
no,no,7/7/03,26,Female,2,3.1,N/A,no,yes,yes,1,no,no,younger
no,no,6/28/04,27,Female,2,2.8,N/A,no,no,yes,6,yes,no,younger
no,no,3/25/04,NA,Female,2,3.07,3.63,no,no,yes,0,no,no,NA
no,no,6/25/03,25,Female,3,3.5,3.8,yes,no,no,0,no,no,younger
no,no,4/15/04,24,Female,2,2.85,3.45,yes,no,yes,1,yes,no,younger
no,no,6/23/04,23,Female,2,3.58,N/A,no,no,yes,5,yes,no,younger
no,no,4/12/03,22,Female,2,3.91,4.06,yes,no,yes,3,yes,no,younger
no,no,3/31/03,22,Female,2,3.33,N/A,no,no,yes,6,no,no,younger
no,no,6/30/04,25,Female,1,2.97,N/A,no,no,yes,4,yes,no,younger
no,no,3/25/03,26,Female,2,3.31,N/A,no,no,yes,7,yes,no,younger
no,no,6/28/04,NA,Female,2,3.52,3.81,yes,no,no,0,no,no,NA
no,no,5/4/04,24,Female,3,3.3,3.9,yes,no,yes,6,no,no,younger
no,no,6/10/04,29,Male,2,3.79,4,yes,no,yes,12,yes,no,younger
no,no,5/14/03,23,Female,2,3.6,4,yes,no,yes,0,no,yes,younger
no,no,6/17/04,23,Female,2,3.26,N/A,no,no,yes,2,yes,no,younger
no,no,6/7/04,35,Female,2,3.84,4.01,yes,yes,yes,2,no,no,younger
no,no,8/11/04,NA,Male,2,N/A,N/A,yes,no,yes,8,no,no,NA
no,no,8/4/03,23,Female,2,3.51,N/A,no,yes,yes,4,no,no,younger
no,no,6/18/03,28,Female,2,3.88,N/A,no,no,yes,1,no,no,younger
no,no,1/14/04,29,Female,2,2.32,N/A,no,no,yes,0,no,no,younger
no,no,5/19/03,24,Female,2,3.64,N/A,no,no,yes,4,no,no,younger
no,no,8/3/02,23,Female,2,3.61,N/A,no,no,yes,3,no,no,younger
no,no,5/24/04,22,Female,2,3.47,N/A,no,no,yes,3,yes,no,younger
no,no,7/1/04,28,Female,2,3.09,N/A,no,no,yes,11,no,no,younger
no,no,7/2/04,NA,Female,2,3.63,N/A,no,no,no,0,no,no,NA
no,no,7/5/04,26,Female,2,2.94,N/A,no,yes,yes,0,no,no,younger
no,no,6/20/03,NA,Female,2,3.8,N/A,no,no,yes,7,yes,no,NA
no,no,7/12/04,39,Female,2,3.63,N/A,no,no,yes,4,no,no,younger
no,no,4/16/03,23,Female,2,3.8,4.1,yes,no,yes,1,no,no,younger
no,no,6/29/04,NA,Female,2,3.75,4,yes,no,yes,6,no,no,NA
no,no,2/28/05,24,Female,1,3.23,3.91,yes,no,yes,3,no,no,younger
no,no,3/30/04,NA,Female,2,N/A,N/A,no,no,no,0,no,no,NA
no,no,1/18/05,25,Female,2,2.8,3.95,yes,no,yes,0,no,no,younger
no,no,3/1/04,30,Male,2,2.75,N/A,no,yes,yes,5,no,no,younger
no,no,7/1/03,25,Female,2,3,N/A,no,no,yes,6,yes,no,younger
no,no,4/22/03,NA,Female,2,3.76,N/A,no,no,yes,6,no,no,NA
no,no,1/12/05,NA,Female,1,N/A,N/A,no,yes,no,0,no,no,NA
no,no,5/11/03,32,Male,3,N/A,2.8,no,no,yes,7,yes,no,younger
no,no,4/4/04,25,Female,2,3.45,3.89,yes,no,yes,5,yes,no,younger
no,no,1/9/03,NA,Female,2,N/A,3.41,no,yes,yes,4,yes,no,NA
no,no,1/31/04,24,Female,2,3.66,N/A,no,yes,yes,5,yes,no,younger
no,no,8/2/04,28,Female,2,2.57,3.94,yes,yes,yes,11 months,yes,no,younger
no,no,4/1/04,29,Female,2,N/A,3.89,yes,yes,yes,4,yes,no,younger
no,no,4/5/03,30,Female,2,3.09,N/A,no,no,yes,0,yes,no,younger
no,no,3/31/03,24,Female,2,3.75,N/A,no,no,yes,2,yes,no,younger
no,no,8/19/04,26,Female,2,3.04,N/A,no,yes,yes,0,yes,no,younger
no,no,5/14/03,36,Female,3,3.6,N/A,no,yes,no,9 months,yes,no,younger
no,no,4/27/03,34,Female,2,N/A,3.51,no,yes,no,6,yes,no,younger
no,no,3/31/03,28,Female,2,3.23,N/A,no,no,yes,3,yes,no,younger
no,no,3/17/04,NA,Male,2,3.74,N/A,yes,yes,yes,0,yes,no,NA
yes,yes,11/1/94,34,Female,2,2.46,3.7,yes,yes,yes,16 years,yes,yes,younger
no,no,4/27/03,24,Female,2,3.41,N/A,no,yes,yes,0,yes,no,younger
no,no,4/14/03,25,Female,2,3.85,N/A,no,no,yes,5 months,yes,no,younger
yes,yes,5/14/01,30,Female,2,2.29,3.83,yes,yes,yes,0,yes,no,younger
yes,yes,3/23/04,24,Female,1,3.3,N/A,no,no,yes,0,yes,yes,younger
yes,yes,4/20/98,48,Female,1,N/A,N/A,no,yes,yes,18,yes,yes,older
yes,yes,10/20/03,26,Female,1,2.65,4,yes,yes,yes,8,yes,no,younger
yes,yes,5/3/04,32,Female,2,2.82,3.77,no,no,yes,8,yes,no,younger
yes,yes,7/11/03,29,Female,1,2.84,N/A,no,no,yes,0,yes,no,younger
yes,yes,12/10/03,36,Female,1,3.01,3.95,no,no,yes,5,yes,yes,younger
