interviewed,hired,appdate,age,sex,residence,GPA.u,GPA.g,MA,substitute,teaching,experience,workkids,volunteer,agegroup
yes,yes,4/8/04,22,Female,1,3.79,3.91,yes,no,yes,3,yes,no,younger
yes,yes,6/19/00,33,Female,2,4,3.94,yes,no,yes,11,yes,no,younger
yes,yes,4/6/04,26,Female,2,N/A,3.63,yes,no,yes,1,yes,no,younger
yes,yes,5/5/00,31,Female,1,2.73,3.8,yes,no,no,2,yes,no,younger
yes,yes,7/18/01,23,Female,1,3,N/A,N/A,no,yes,2,no,no,younger
yes,yes,3/19/01,22,Female,1,3.83,N/A,N/A,no,yes,5,yes,no,younger
yes,yes,4/12/00,25,Female,1,2.98,N/A,N/A,yes,yes,7,yes,no,younger
yes,yes,2/25/02,31,Male,1,3.24,3.79,yes,no,no,4,no,no,younger
yes,yes,3/20/01,22,Female,1,3.7,N/A,yes,no,yes,7,yes,no,younger
yes,yes,6/24/04,23,Female,1,3.66,N/A,N/A,yes,yes,3,yes,no,younger
yes,yes,4/12/02,24,Female,1,3.4,4,yes,yes,yes,3,yes,no,younger
yes,yes,3/24/03,22,Female,1,N/A,N/A,N/A,no,yes,2,no,yes,younger
yes,yes,4/27/02,23,Male,1,3.75,N/A,N/A,no,yes,1,yes,no,younger
yes,yes,6/14/04,35,Female,1,3.36,3.97,yes,no,yes,4,yes,no,younger
yes,yes,5/7/01,24,Female,1,3.23,N/A,N/A,no,yes,0,no,no,younger
yes,yes,3/4/03,24,Female,2,N/A,4.09,yes,no,yes,7,yes,no,younger
yes,yes,7/7/99,26,Female,2,3.35,N/A,no,no,yes,8,yes,no,younger
yes ,yes,5/5/99,30,Female,2,2.93,3.67,yes,yes,yes,6,yes,no,younger
yes,yes,5/26/99,33,Female,2,N/A,3.73,no,no,yes,12,no,no,younger
yes ,yes ,4/9/99,29,Female,2,N/A,N/A,yes,no,yes,1,no,no,younger
yes ,yes ,4/15/97,31,Female,1,N/A,3.21,yes,no,yes,11,yes,no,younger
yes ,yes*,8/1/00,43,Female,2,3.52,3.89,yes,no,yes,0,no,yes,older
yes ,yes*,8/27/03,49,Female,2,,,no,yes,yes,21,no,no,older
yes,yes*,6/12/00,46,Female,1,N/A,N/A,no,no,yes,8,no,no,older
yes ,yes*,8/30/02,42,Female,1,3.86,3.88,yes,no,yes,13,no,no,older
yes,yes*,6/25/01,40,Male,1,3.66,N/A,no,no,yes,15,no,no,older
yes,yes*,5/28/00,39,Male,1,N/A,3.93,no,no,yes,20,no,no,younger
yes,yes,7/30/03,55,Female,1,N/A,3.94,yes,no,no,1,no,no,older
yes ,yes ,5/19/00,30,Female,1,N/A,3.95,yes,no,yes,2 months,yes,no,younger
yes ,yes,4/2/02,22,Female,1,3.55,N/A,no,no,yes,8,yes,no,younger
yes,yes,7/1/04,23,Female,1,3.19,N/A,no,no,yes,6,yes,no,younger
yes ,yes ,5/17/04,35,Female,1,3.49,4,yes,no,no,0,no,no,younger
yes,yes,6/16/99,23,Female,2,3,N/A,no,no,yes,4,yes,no,younger
yes ,yes,5/1/98,27,Female,1,3.17,N/A,no,no,yes,10,no,no,younger
yes ,yes ,4/12/99,28,Male,2,2.73,3.56,yes,no,yes,9,yes,no,younger
yes ,yes ,5/27/99,27,Female,2,N/A,3.59,yes,no,yes,4,no,no,younger
yes ,yes ,5/29/02,24,Female,2,3.09,3.82,yes,no,yes,5,no,no,younger
yes ,yes,5/10/99,24,Female,1,3.26,N/A,no,yes,yes,0,no,no,younger
yes ,yes ,3/11/98,27,Female,1,N/A,9.97,yes,yes,yes,13,no,no,younger
yes ,yes,5/24/99,24,Female,2,3.75,N/A,no,yes,yes,0,no,no,younger
yes ,yes,4/8/97,27,Female,1,3.12,N/A,no,no,yes,6,yes,no,younger
yes ,yes ,10/26/00,NA,Female,2,3.64,2.87,yes,no,no,0,no,no,NA
yes ,yes,5/17/04,26,Female,1,3.55,N/A,no,yes,yes,2,yes,no,younger
yes,yes ,10/30/01,38,Female,2,3.13,N/A,no,no,yes,9,yes,no,younger
yes ,yes ,5/22/99,25,Female,2,3.83,N/A,no,no,yes,2,yes,no,younger
yes ,yes,1/19/99,25,Female,1,3.11,4,yes,no,yes,1,no,no,younger
yes,yes,5/20/99,28,Female,1,3.38,3.98,yes,no,yes,5,no,no,younger
no,no,7/14/03,28,Female,2,2.6,3.96,yes,yes,yes,6,no,no,younger
no,no,2/20/03,23,Female,2,3.4,N/A,no,no,yes,7,yes,no,younger
no,no,7/6/04,NA,Female,2,N/A,N/A,no,no,no,3,no,no,NA
no,no,6/16/04,26,Female,2,3.15,3.82,yes,yes,yes,6,no,no,younger
no,no,6/30/04,NA,Female,1,3.34,N/A,no,no,no,0,no,no,NA
no,no,4/16/03,23,Female,2,3.64,N/A,no,no,yes,4,yes,no,younger
no,no,4/17/04,39,Female,2,2.9,N/A,no,no,yes,1,no,no,younger
no,no,7/28/04,25,Female,2,2.66,3.93,yes,no,yes,5,yes,no,younger
no,no,4/2/04,24,Female,2,N/A,3.87,pending,no,yes,3,no,no,younger
no,no,4/24/03,26,Female,2,3.4,N/A,no,no,yes,0,no,yes,younger
no,no,6/15/04,31,Female,2,N/A,3.77,yes,yes,yes,0,no,no,younger
