"pid","location","yearbuilt","totval","bedrooms","bathrooms","halfbaths"
3874,"100 WARWICK ST","1900","595400",NA,NA,NA
3875,"BURWELL ST",NA,"60500",NA,NA,NA
3876,"RUSSELL ST",NA,"85800",NA,NA,NA
3877,"215 BURWELL ST","2000","333700",0,0,NA
3878,"5 RUSSELL ST","1958","129300",3,1,1
3879,"15 RUSSELL ST","1953","110000",2,1,0
3880,"25 RUSSELL ST","1960","127700",3,1,0
3881,"87 WARWICK ST","1968","388800",0,0,NA
3882,"WARWICK ST",NA,"15800",NA,NA,NA
3883,"CABOT ST",NA,"1100",NA,NA,NA
3884,"99 WARWICK ST","2007","245800",6,3,3
3885,"107 WARWICK ST","1987","396500",12,6,6
3886,"210 BURWELL ST","1967","441700",0,0,NA
3887,"84 CABOT ST","1988","181300",3,1,2
3888,"80 CABOT ST","1921","136500",4,1,0
3889,"78 CABOT ST","1988","157700",3,1,1
3890,"CABOT ST",NA,"32800",NA,NA,NA
3891,"CABOT ST",NA,"34800",NA,NA,NA
3892,"100 RUSSELL ST","1962","169500",6,2,0
3893,"124 RUSSELL ST","1971","139900",3,2,0
3894,"132 RUSSELL ST","1970","154800",3,1,1
3895,"140 RUSSELL ST","1973","181700",3,1,0
3896,"154 RUSSELL ST","1969","164500",4,2,0
3897,"160 RUSSELL ST","1970","150200",3,1,0
3898,"166 RUSSELL ST","1973","150700",3,1,0
3899,"51 RUSSELL ST","1900","138300",3,2,0
3900,"63 RUSSELL ST","1900","1010200",0,0,NA
3901,"89 RUSSELL ST","1900","133000",2,1,0
3902,"RUSSELL ST",NA,"37100",NA,NA,NA
3903,"115 RUSSELL ST","1951","201200",4,2,0
3904,"RUSSELL ST",NA,"37500",NA,NA,NA
3905,"RUSSELL ST",NA,"38600",NA,NA,NA
3906,"RUSSELL ST",NA,"70100",NA,NA,NA
3907,"178 RUSSELL ST","1967","134200",3,1,1
3908,"172 RUSSELL ST","1967","135200",3,1,1
3909,"184 RUSSELL ST","1970","216200",3,1,1
3910,"143 RUSSELL ST","1900","149800",3,1,0
3911,"RUSSELL ST",NA,"13100",NA,NA,NA
3912,"147 RUSSELL ST",NA,"39300",NA,NA,NA
3913,"149 RUSSELL ST",NA,"42900",NA,NA,NA
3914,"RUSSELL ST",NA,"214100",NA,NA,NA
3915,"171 RUSSELL ST","1954","181900",2,1,0
3916,"175 RUSSELL ST","2006","202300",3,2,0
3917,"181 RUSSELL ST",NA,"37300",NA,NA,NA
3918,"201 RUSSELL ST","1924","490300",2,1,0
3919,"203 RUSSELL ST","1924","60200",4,1,0
3920,"RUSSELL ST",NA,"11100",NA,NA,NA
3921,"223 RUSSELL ST","1933","200000",4,2,0
3922,"231 RUSSELL ST","1946","175200",4,1,1
3923,"235 RUSSELL ST","1950","144700",4,2,0
3924,"245 RUSSELL ST","1925","194000",4,2,0
3925,"257 RUSSELL ST","1900","93800",2,1,0
3926,"RUSSELL ST",NA,"39300",NA,NA,NA
3927,"269 RUSSELL ST","1920","88000",3,2,0
3928,"273 RUSSELL ST","1920","107500",3,1,0
3929,"275 RUSSELL ST","1915","114300",3,1,1
3930,"89 HIGHVIEW LA","1962","159400",4,3,0
3931,"83 HIGHVIEW LA","1964","148900",3,2,0
3932,"79 HIGHVIEW LA","1963","139900",3,2,0
3933,"38 SLEEPY HOLLOW CIR #6","1988","167800",3,1,2
3934,"44 SLEEPY HOLLOW CIR #7","1988","178500",3,2,1
3935,"52 SLEEPY HOLLOW CIR #8","1988","171900",3,2,0
3936,"60 SLEEPY HOLLOW CIR #9","1988","181900",3,2,1
3937,"70 SLEEPY HOLLOW CIR #10","1988","186600",3,2,0
3938,"76 SLEEPY HOLLOW CIR #11","1988","169700",3,1,1
3939,"84 SLEEPY HOLLOW CIR #12","1988","161100",3,2,0
3940,"76 HIGHVIEW LA","1963","139200",3,1,1
3941,"82 HIGHVIEW LA","1963","136700",3,1,1
3942,"88 HIGHVIEW LA","1962","103400",4,2,0
3943,"94 HIGHVIEW LA","1966","104600",4,2,0
3944,"94 HIGHVIEW LA",NA,"300",NA,NA,NA
3945,"146 SUMMIT ST","1952","190200",2,1,0
3946,"140 SUMMIT ST","1957","183600",3,2,0
3947,"130 SUMMIT ST","2006","283900",3,2,1
3948,"120 SUMMIT ST","1952","222500",3,1,1
3949,"220 RUSSELL ST",NA,"39900",NA,NA,NA
3950,"200 RUSSELL ST",NA,"42000",NA,NA,NA
3951,"RUSSELL ST",NA,"134800",NA,NA,NA
3952,"264 RUSSELL ST","1845","109800",2,1,0
3953,"248 RUSSELL ST","1940","172900",4,2,0
3954,"240 RUSSELL ST","1981","170600",3,2,1
3955,"228 RUSSELL ST","1923","146500",3,2,0
3956,"RUSSELL ST",NA,"156100",NA,NA,NA
3957,"153 SUMMIT ST",NA,"49500",NA,NA,NA
3958,"139 SUMMIT ST","1981","269200",3,2,0
3959,"141 SUMMIT ST","1984","204800",2,2,0
3960,"135 SUMMIT ST","1952","268700",4,1,1
3961,"137 SUMMIT ST",NA,"3500",NA,NA,NA
3962,"143 SUMMIT ST",NA,"3400",NA,NA,NA
3963,"145 SUMMIT ST","1950","254300",3,2,0
3964,"147 SUMMIT ST",NA,"3400",NA,NA,NA
3965,"155 SUMMIT ST","1962","223200",3,2,1
3966,"151 SUMMIT ST",NA,"3400",NA,NA,NA
3967,"RUSSELL ST",NA,"2500",NA,NA,NA
3968,"22 LEXINGTON AV","2015","214100",4,2,NA
3969,"24 LEXINGTON AV","1991","136600",2,2,0
3970,"28 LEXINGTON AV","1950","89500",2,1,0
3971,"32 LEXINGTON AV","1964","181300",8,3,2
3972,"38 LEXINGTON AV","1938","202500",3,2,0
3973,"48 LEXINGTON AV","1947","147400",3,1,0
3974,"56 LEXINGTON AV","1950","170500",4,2,1
3975,"72 LEXINGTON AV","1930","117100",3,2,0
3976,"80 LEXINGTON AV","1925","136500",3,2,0
3977,"86 LEXINGTON AV","1944","127200",4,2,0
3978,"90 LEXINGTON AV","1925","89300",3,1,0
3979,"92 LEXINGTON AV","1979","1049300",0,0,NA
3980,"96 LEXINGTON AV","1920","119600",2,1,1
3981,"LEXINGTON AV",NA,"2600",NA,NA,NA
3982,"110 LEXINGTON AV #A","1981","70700",2,1,1
3983,"110 LEXINGTON AV #B","1981","70500",2,1,1
3984,"110 LEXINGTON AV #C","1981","70700",2,1,1
3985,"124 LEXINGTON AV","1900","148100",4,1,1
3986,"130 LEXINGTON AV #A","1981","69000",1,1,0
3987,"130 LEXINGTON AV #B","1981","69200",1,1,0
3988,"130 LEXINGTON AV #C","1981","93800",2,1,0
3989,"140 LEXINGTON AV","1927","157200",4,1,1
3990,"5 REVERE ST","1920","114500",3,1,1
3991,"111 LENOX ST","1965","505700",0,0,NA
3992,"97 LENOX ST",NA,"700",NA,NA,NA
3993,"114 LEXINGTON AV #D","1984","72700",2,1,1
3994,"114 LEXINGTON AV #E","1984","75600",2,2,1
3995,"114 LEXINGTON AV #F","1984","70700",2,1,1
3996,"114 LEXINGTON AV #G","1984","70500",2,1,1
3997,"114 LEXINGTON AV #H","1984","70700",2,1,1
3998,"95 LENOX ST #I","1981","34600",1,1,0
3999,"95 LENOX ST #J","1981","63200",2,2,0
4000,"95 LENOX ST #K","1981","69000",2,2,0
4001,"95 LENOX ST #L","1981","64900",2,1,1
4002,"89 LENOX ST #M","1986","70000",2,1,1
4003,"89 LENOX ST #N","1986","70000",2,1,1
4004,"104 LEXINGTON AV","1969","706300",0,0,NA
4005,"LENOX ST",NA,"24200",NA,NA,NA
4006,"75 LENOX ST","1989","311400",8,6,0
4007,"71 LENOX ST","1955","103300",2,2,0
4008,"65 LENOX ST","1950","101300",2,1,0
4009,"59 LENOX ST",NA,"2600",NA,NA,NA
4010,"LENOX ST",NA,"2800",NA,NA,NA
4011,"49 LENOX ST",NA,"2900",NA,NA,NA
4012,"43 LENOX ST",NA,"2600",NA,NA,NA
4013,"15 LEXINGTON AV","2007","49065400",NA,NA,NA
4014,"117 LEXINGTON AV","1920","133700",5,2,NA
4015,"121 LEXINGTON AV #1","1983","48800",1,1,0
4016,"121 LEXINGTON AV #3","1983","66400",2,1,1
4017,"121 LEXINGTON AV #5","1983","66400",2,1,1
4018,"121 LEXINGTON AV #7","1983","48800",1,1,0
4019,"121 LEXINGTON AV #2","1983","48800",1,1,0
4020,"121 LEXINGTON AV #4","1983","66400",2,1,1
4021,"121 LEXINGTON AV #6","1983","64300",2,1,0
4022,"121 LEXINGTON AV #8","1983","48800",1,1,0
4023,"121 LEXINGTON AV #10","1983","48800",1,1,0
4024,"121 LEXINGTON AV #12","1983","66400",2,1,1
4025,"121 LEXINGTON AV #14","1983","66400",2,1,1
4026,"121 LEXINGTON AV #16","1983","66400",2,1,1
4027,"121 LEXINGTON AV #18","1983","66400",2,1,1
4028,"121 LEXINGTON AV #20","1983","48800",1,1,0
4029,"121 LEXINGTON AV #9","1984","66400",2,1,1
4030,"121 LEXINGTON AV #11","1984","66400",2,1,1
4031,"121 LEXINGTON AV #13","1984","66400",2,1,1
4032,"121 LEXINGTON AV #15","1984","66400",2,1,1
4033,"121 LEXINGTON AV #17","1986","66400",2,1,1
4034,"121 LEXINGTON AV #19","1986","66400",2,1,1
4035,"121 LEXINGTON AV #21","1986","66400",2,1,1
4036,"121 LEXINGTON AV #23","1986","66400",2,1,1
4037,"121 LEXINGTON AV #22","1986","66400",2,1,1
4038,"121 LEXINGTON AV #24","1986","66400",2,1,1
4039,"121 LEXINGTON AV #26","1986","66400",2,1,1
4040,"121 LEXINGTON AV #28","1986","66400",2,1,1
4041,"121 LEXINGTON AV #25","1986","66400",2,1,1
4042,"121 LEXINGTON AV #27","1986","64300",2,1,0
4043,"121 LEXINGTON AV #29","1986","64300",2,1,NA
4044,"121 LEXINGTON AV #31","1986","64300",2,1,0
4045,"125 LEXINGTON AV","1950","107500",4,1,0
4046,"127 LEXINGTON AV","1988","209200",6,4,1
4047,"131 LEXINGTON AV","1920","181100",3,1,1
4048,"135 LEXINGTON AV","1948","115600",3,1,0
4049,"141 LEXINGTON AV","1920","168700",3,2,0
4050,"37 REVERE ST","1930","147300",3,2,0
4051,"47 REVERE ST","1956","164200",3,2,0
4052,"57 REVERE ST","2002","164600",4,2,0
4053,"70 REVERE ST","2009","315400",3,2,1
4054,"62 REVERE ST","1966","130000",6,2,0
4055,"76 REVERE ST","1967","285500",0,0,NA
4056,"61 REVERE ST","1967","267300",0,0,NA
4057,"69 REVERE ST","2004","183600",6,2,2
4058,"84 RUSSELL ST","1920","243600",8,3,0
4059,"90 RUSSELL ST","1890","144200",2,2,0
4060,"80 RUSSELL ST","1920","99700",2,2,0
4061,"72 RUSSELL ST","1920","128100",4,2,0
4062,"60 RUSSELL ST","1950","140200",4,2,1
4063,"48 RUSSELL ST","1986","32300",2,1,1
4064,"50 RUSSELL ST #2","1986","32300",2,1,1
4065,"52 RUSSELL ST","1986","36300",4,2,0
4066,"44 RUSSELL ST","1910","153200",3,2,0
4067,"40 RUSSELL ST",NA,"27100",NA,NA,NA
4068,"490 QUINNIPIAC AV","1800","170500",4,1,0
4069,"482 QUINNIPIAC AV","1900","382600",8,6,0
4070,"476 QUINNIPIAC AV","1880","161300",3,3,0
4071,"470 QUINNIPIAC AV","1880","122900",2,1,0
4072,"466 QUINNIPIAC AV","1930","878500",0,0,NA
4073,"430 QUINNIPIAC AV",NA,"326300",NA,NA,NA
4074,"400 QUINNIPIAC AV","1961","300200",0,0,NA
4075,"392 QUINNIPIAC AV","1900","191100",3,1,0
4076,"376 QUINNIPIAC AV","1979","352700",0,0,NA
4077,NA,NA,NA,NA,NA,NA
4078,"366 QUINNIPIAC AV","1940","79500",4,2,1
4079,"360 QUINNIPIAC AV",NA,"39100",NA,NA,NA
4080,"11 FERRY ST","1930","330500",0,0,NA
4081,"39 FERRY ST","1966","563200",0,0,NA
4082,"69 FERRY ST",NA,"126900",NA,NA,NA
4083,"69 FERRY ST",NA,"125200",NA,NA,NA
4084,"323 QUINNIPIAC AV",NA,"158300",NA,NA,NA
4085,"341 QUINNIPIAC AV","1929","687000",0,0,NA
4086,"349 QUINNIPIAC AV",NA,"60900",NA,NA,NA
4087,"375 QUINNIPIAC AV","1912","5248500",0,0,NA
4088,"399 QUINNIPIAC AV",NA,"113300",NA,NA,NA
4089,"407 QUINNIPIAC AV","1900","168200",4,3,0
4090,"415 QUINNIPIAC AV","1948","309400",0,0,NA
4091,"425 QUINNIPIAC AV","1890","134800",4,2,0
4092,"QUINNIPIAC AV",NA,"139400",NA,NA,NA
4093,"431 QUINNIPIAC AV",NA,"27200",NA,NA,NA
4094,"453 QUINNIPIAC AV","1840","157300",6,3,0
4095,"467 QUINNIPIAC AV","1900","324300",4,5,0
4096,"475 QUINNIPIAC AV","1900","179200",5,2,0
4097,"479 QUINNIPIAC AV","1900","175900",6,3,0
4098,"483 QUINNIPIAC AV","1900","196500",6,3,0
4099,"489 QUINNIPIAC AV","1925","275200",4,4,0
4100,"15 OXFORD ST","1946","171900",0,0,NA
4101,"27 OXFORD ST","1920","133200",3,2,0
4102,"162 LENOX ST","1900","106400",2,1,0
4103,"156 LENOX ST","1825","96400",2,1,0
4104,"152 LENOX ST","1910","97700",2,1,0
4105,"140 LENOX ST","1956","126900",3,1,0
4106,"132 LENOX ST","1956","126100",2,1,0
4107,"126 LENOX ST","1956","126400",3,1,0
4108,"124 LENOX ST",NA,"2100",NA,NA,NA
4109,"120 LENOX ST","1890","120100",3,2,0
4110,"110 LENOX ST","1900","694500",5,3,0
4111,"30 LENOX ST","1900","1800400",0,0,NA
4112,"LENOX ST",NA,"13700",NA,NA,NA
4113,"494 QUINNIPIAC AV",NA,"184200",NA,NA,NA
4114,"QUINNIPIAC AV",NA,"88500",NA,NA,NA
4115,"524 QUINNIPIAC AV",NA,"267600",NA,NA,NA
4116,"530 QUINNIPIAC AV",NA,"135700",NA,NA,NA
4117,"536 QUINNIPIAC AV",NA,"216700",NA,NA,NA
4118,NA,NA,NA,NA,NA,NA
4119,NA,NA,NA,NA,NA,NA
4120,NA,NA,NA,NA,NA,NA
4121,NA,NA,NA,NA,NA,NA
4122,"553 QUINNIPIAC AV","1900","148100",6,2,0
4123,"17 ANER ST","1976","106900",3,1,0
4124,"232 LENOX ST","1900","145000",4,1,0
4125,"220 LENOX ST","1900","130000",3,1,0
4126,"210 LENOX ST","1910","131400",3,1,1
4127,"204 LENOX ST","1900","131300",4,2,0
4128,"200 LENOX ST","1961","142500",6,2,0
4129,"196 LENOX ST","1961","165700",6,2,1
4130,"190 LENOX ST","1988","192300",3,2,1
4131,"180 LENOX ST","1860","195200",4,4,0
